County,City,Municipality,Settlement
,,,Gonjeva
,,,Gornja Purgarija
,,,Gornja Zdenčina
,,,Klinča Sela
,,,Kozlikovo
,,,Kupinec
,,,Novo Selo Okićko
,,,Poljanica Okićka
,,,Repišće
,,,Tržić 
,,Kloštar Ivanić,Bešlinec Čemernica Lonjska
,,,Donja Obreška
,,,Gornja Obreška
,,,Kloštar Ivanić
,,,Križci
,,,Lipovec Lonjski
,,,Predavec
,,,Sobočani
,,,Stara Marča
,,,Šćapovec 
,,Krašić,Barovka
,,,Begovo Brdo Žumberačko
,,,Brezarić
,,,Brlenić
,,,Bukovica Prekriška
,,,Careva Draga
,,,Čučići
,,,Čunkova Draga
,,,Dol
,,,Donje Prekrižje
,,,Gornje Prekrižje
,,,Hrženik
,,,Hutin
,,,Jezerine
,,,Konjarić Vrh
,,,Kostel Pribićki
,,,Krašić
,,,Krnežići
,,,Krupače
,,,Kučer
,,,Kurpezova Gorica
,,,Medven Draga
,,,Mirkopolje
,,,Pećno
,,,Pribić
,,,Pribić Crkveni
,,,Prvinci
,,,Radina Gorica
,,,Rude Pribićke
,,,Staničići Žumberački
,,,Strmac Pribićki
,,,Svrževo
,,,Vranjak Žumberački 
,,Kravarsko,Barbarići Kravarski
,,,Čakanec
,,,Donji Hruševec
,,,Gladovec Kravarski
,,,Gornji Hruševec
,,,Kravarsko
,,,Novo Brdo
,,,Podvornica
,,,Pustike
,,,Žitkovčica 
,,Križ,Bunjani
,,,Donji Prnjarovec
,,,Gornji Prnjarovec
,,,Johovec
,,,Konšćani
,,,Križ
,,,Mala Hrastilnica
,,,Novoselec
,,,Obedišće
,,,Okešinec
,,,Razljev
,,,Rečica Kriška
,,,Širinec
,,,Šušnjari
,,,Velika Hrastilnica
,,,Vezišće 
,,Luka,Krajska Ves
,,,Luka
,,,Pluska
,,,Vadina
,,,Žejinci 
,,Marija Gorica,Bijela Gorica Celine Goričke
,,,Hrastina
,,,Kraj Donji
,,,Kraj Gornji
,,,Križ Brdovečki
,,,Marija Gorica
,,,Oplaznik
,,,Trstenik
,,,Žlebec Gorički 
,,Orle,Bukevje
,,,Čret Posavski
,,,Drnek
,,,Obed
,,,Orle
,,,Ruča
,,,Stružec Posavski
,,,Suša
,,,Veleševec
,,,Vrbovo Posavsko 
,,Pisarovina,Bratina
,,,Bregana Pisarovinska
,,,Donja Kupčina
,,,Dvoranci
,,,Gorica Jamnička
,,,Gradec Pokupski
,,,Jamnica Pisarovinska
,,,Lijevo Sredičko
,,,Lučelnica
,,,Pisarovina
,,,Podgorje Jamničko
,,,Selsko Brdo
,,,Topolovec Pisarovinski
,,,Velika Jamnička 
,,Pokupsko,Auguštanovec
,,,Cerje Pokupsko
,,,Cvetnić Brdo
,,,Gladovec Pokupski
,,,Hotnja
,,,Lijevi Degoj
,,,Lijevi Štefanki
,,,Lukinić Brdo
,,,Opatija
,,,Pokupsko
,,,Roženica
,,,Strezojevo
,,,Šestak Brdo
,,,Zgurić Brdo 
,,Preseka,Donja Velika
,,,Gornja Velika
,,,Gornjaki
,,,Kamenica
,,,Kraljev Vrh
,,,Krušljevec
,,,Ledina
,,,Pogančec
,,,Preseka
,,,Slatina
,,,Srednja Velika
,,,Strmec
,,,Šelovec
,,,Vinkovec
,,,Žabnjak 
,,Pušća,Bregovljana
,,,Donja Pušća
,,,Dubrava Pušćanska
,,,Gornja Pušća
,,,Hrebine
,,,Hruševec Pušćanski
,,,Marija Magdalena
,,,Žlebec Pušćanski 
,,Rakovec,Baničevec
,,,Brezani
,,,Dropčevec
,,,Dvorišće
,,,Goli Vrh
,,,Hruškovec
,,,Hudovo
,,,Kolenica
,,,Lipnica
,,,Mlaka
,,,Rakovec
,,,Valetić
,,Rugvica,Čista Mlaka
,,,Črnec Dugoselski
,,,Črnec Rugvički
,,,Donja Greda
,,,Dragošička
,,,Hrušćica
,,,Jalševec Nartski
,,,Ježevo
,,,Nart Savski
,,,Novaki Nartski
,,,Novaki Oborovski
,,,Obedišće Ježevsko
,,,Oborovo
,,,Okunšćak
,,,Otok Nartski
,,,Otok Svibovski
,,,Preseka Oborovska
,,,Prevlaka
,,,Rugvica
,,,Sop
,,,Struga Nartska
,,,Svibje
,,,Trstenik Nartski 
,,Stupnik,Gornji Stupnik
,,,Donji Stupnik
,,,Stupnički Obrež 
,,Žumberak,Cernik
,,,Donji Oštrc
,,,Drašći Vrh
,,,Glušinja
,,,Gornji Oštrc
,,,Grgetići
,,,Grič
,,,Hartje
,,,Javor
,,,Jezernice
,,,Jurkovo Selo
,,,Kalje
,,,Kordići Žumberački
,,,Kostanjevac
,,,Kupčina Žumberačka
,,,Markušići
,,,Mrzlo Polje Žumberačko
,,,Petričko Selo
,,,Plavci
,,,Radinovo Brdo
,,,Reštovo Žumberačko
,,,Sopote
,,,Sošice
,,,Stari Grad Žumberački
,,,Stupe
,,,Tomaševci
,,,Tupčina
,,,Veliki Vrh
,,,Visoće
,,,Višći Vrh
,,,Vlašić Brdo
,,,Vukovo Brdo
,,,Žamarija
,,,Željezno Žumberačko
,,,Žumberak
Krapinsko-zagorska županija,Donja Stubica,,Donja Podgora
,,,Donja Stubica
,,,Gornja Podgora
,,,Hižakovec
,,,Hruševec
,,,Lepa Ves
,,,Matenci
,,,Milekovo Selo
,,,Pustodol
,,,Vučak 
,Klanjec,,Bobovec Tomaševečki
,,,Bratovski Vrh
,,,Cesarska Ves
,,,Dol Klanječki
,,,Florijan
,,,Goljak Klanječki
,,,Gorkovec
,,,Gredice
,,,Klanjec
,,,Ledine Klanječke
,,,Lepoglavec
,,,Letovčan Novodvorski
,,,Letovčan Tomaševečki
,,,Lučelnica Tomaševečka
,,,Mihanovićev Dol
,,,Novi Dvori Klanječki
,,,Police
,,,Rakovec Tomaševečki
,,,Tomaševec 
,Krapina,,Bobovje
,,,Doliće
,,,Donja Šemnica
,,,Gornja Pačetina
,,,Krapina
,,,Lazi Krapinski
,,,Lepajci
,,,Mihaljekov Jarek
,,,Podgora Krapinska
,,,Polje Krapinsko
,,,Pretkovec
,,,Pristava Krapinska
,,,Strahinje
,,,Straža Krapinska
,,,Škarićevo
,,,Šušelj Brijeg
,,,Tkalci
,,,Trški Vrh
,,,Velika Ves
,,,Vidovec Krapinski
,,,Vidovec Petrovski
,,,Zagora
,,,Žutnica 
,Oroslavje,,Andraševec
,,,Krušljevo Selo
,,,Mokrice
,,,Oroslavje
,,,Stubička Slatina 
,Pregrada,,Benkovo
,,,Bregi Kostelski
,,,Bušin
,,,Cigrovec
,,,Donja Plemenšćina
,,,Gabrovec
,,,Gorjakovo
,,,Gornja Plemenšćina
,,,Klenice
,,,Kostel
,,,Kostelsko
,,,Mala Gora
,,,Marinec
,,,Martiša Ves
,,,Pavlovec Pregradski
,,,Pregrada
,,,Sopot
,,,Stipernica
,,,Svetojurski Vrh
,,,Valentinovo
,,,Velika Gora
,,,Vinagora
,,,Višnjevec
,,,Vojsak
,,,Vrhi Pregradski
,,,Vrhi Vinagorski 
,Zabok ,,Bračak
,,,Bregi Zabočki
,,,Dubrava Zabočka
,,,Grabrovec
,,,Grdenci
,,,Gubaševo
,,,Hum Zabočki
,,,Jakuševec Zabočki
,,,Lug Zabočki
,,,Martinišće
,,,Pavlovec Zabočki
,,,Prosenik Gubaševski
,,,Prosenik Začretski
,,,Repovec
,,,Špičkovina
,,,Tisanić Jarek
,,,Zabok 
,Zlatar,,Belec
,,,Borkovec
,,,Cetinovec
,,,Donja Batina
,,,Donja Selnica
,,,Ervenik Zlatarski
,,,Gornja Batina
,,,Gornja Selnica
,,,Juranšćina
,,,Ladislavec
,,,Martinšćina
,,,Petruševec
,,,Ratkovec
,,,Repno
,,,Šćrbinec
,,,Vižanovec
,,,Završje Belečko
,,,Zlatar
,,,Znož 
,,Bedekovčina,Bedekovčina
,,,Belovar Zlatarski
,,,Brestovec Orehovički
,,,Grabe
,,,Kebel
,,,Križanče
,,,Lug Orehovički
,,,Lug Poznanovečki
,,,Martinec Orehovički
,,,Orehovica
,,,Poznanovec
,,,Pustodol Orehovički
,,,Vojnić Breg
,,,Zadravec
,,,Židovinjak 
,,Budinščina,Budinščina
,,,Gotalovec
,,,Grtovec
,,,Krapinica
,,,Marigutić
,,,Pažurovec
,,,Pece
,,,Pokojec
,,,Pomperovec
,,,Prepuštovec
,,,Sveti Križ
,,,Topličica
,,,Zajezda 
,,Desinić,Desinić
,,,Desinić Gora
,,,Donji Jalšovec
,,,Donji Zbilj
,,,Dubravica Desinićka
,,,Gaber
,,,Gora Košnička
,,,Gornji Jalšovec
,,,Gornji Zbilj
,,,Gostenje
,,,Grohot
,,,Hum Košnički
,,,Ivanić Desinićki
,,,Ivanić Košnički
,,,Jazbina
,,,Jelenjak
,,,Klanječno
,,,Košnica
,,,Nebojse
,,,Osredek Desinićki
,,,Ravnice Desinićke
,,,Stara Ves Košnička
,,,Šimunci
,,,Škalić Zagorski
,,,Trnovec Desinićki
,,,Turnišće Desinićko
,,,Turnovo
,,,Velika Horvatska 
,,Đurmanec,Donji Macelj
,,,Đurmanec
,,,Goričanovec
,,,Gornji Macelj
,,,Hlevnica
,,,Hromec
,,,Jezerišće
,,,Koprivnica Zagorska
,,,Lukovčak
,,,Podbrezovica
,,,Prigorje
,,,Putkovec
,,,Ravninsko 
,,Gornja Stubica,Banšćica
,,,Brezje
,,,Dobri Zdenci
,,,Dubovec
,,,Gornja Stubica
,,,Gusakovec
,,,Hum Stubički
,,,Jakšinec
,,,Karivaroš
,,,Modrovec
,,,Orehova Gorica
,,,Pasanska Gorica
,,,Repićevo Selo
,,,Samci
,,,Sekirevo Selo
,,,Slani Potok
,,,Sveti Matej
,,,Šagudovec
,,,Vinterovec
,,,Volavec 
,,Hrašćina,Domovec
,,,Donji Kraljevec
,,,Gornjaki
,,,Gornji Kraljevec
,,,Hrašćina
,,,Husinec
,,,Jarek Habekov
,,,Maretić
,,,Trgovišće
,,,Vrbovo 
,,Hum na Sutli,Brezno Gora
,,,Donje Brezno
,,,Druškovec Gora
,,,Druškovec Humski
,,,Gornje Brezno
,,,Grletinec
,,,Hum na Sutli
,,,Klenovec Humski
,,,Lastine
,,,Lupinjak
,,,Mali Tabor
,,,Orešje Humsko
,,,Poredje
,,,Prišlin
,,,Rusnica
,,,Strmec Humski
,,,Vrbišnica
,,,Zalug 
,,Jesenje,Brdo Jesenjsko
,,,Cerje Jesenjsko
,,,Donje Jesenje
,,,Gornje Jesenje
,,,Lužani Zagorski 
,,Konjščina,Bočadir
,,,Bočaki
,,,Brlekovo
,,,Donja Batina
,,,Donja Konjščina
,,,Galovec
,,,Gornja Konjščina
,,,Jelovec
,,,Jertovec
,,,Klimen
,,,Konjščina
,,,Kosovečko
,,,Krapina Selo
,,,Pešćeno
,,,Sušobreg
,,,Turnišće 
,,Kraljevec na Sutli,Draše
,,,Gornji Čemehovec
,,,Kačkovec
,,,Kapelski Vrh
,,,Kraljevec na Sutli
,,,Lukavec Klanječki
,,,Movrač
,,,Pušava
,,,Radakovo
,,,Strmec Sutlanski 
,,Krapinske Toplice,Čret
,,,Donje Vino
,,,Gregurovec
,,,Hršak Breg
,,,Jasenovac Zagorski
,,,Jurjevec
,,,Klokovec
,,,Klupci
,,,Krapinske Toplice
,,,Lovreća Sela
,,,Mala Erpenja
,,,Maturovec
,,,Oratje
,,,Selno
,,,Slivonja Jarek
,,,Viča Sela
,,,Vrtnjakovec 
,,Kumrovec,Donji Škrnik
,,,Dugnjevec
,,,Kladnik
,,,Kumrovec
,,,Podgora
,,,Ravno Brezje
,,,Razdrto Tuheljsko
,,,Razvor
,,,Risvica
,,,Velinci 
,,Lobor,Cebovec
,,,Lobor
,,,Markušbrijeg
,,,Petrova Gora
,,,Stari Golubovec
,,,Šipki
,,,Velika Petrovagorska
,,,Vinipotok
,,,Vojnovec Loborski
,,,Završje Loborsko 
,,Mače,Delkovec
,,,Frkuljevec Peršaveški
,,,Mače
,,,Mali Bukovec
,,,Mali Komor
,,,Peršaves
,,,Veliki Bukovec
,,,Veliki Komor
,,,Vukanci 
,,Marija Bistrica,Globočec
,,,Hum Bistrički
,,,Laz Bistrički
,,,Laz Stubički
,,,Marija Bistrica
,,,Podgorje Bistričko
,,,Podgrađe
,,,Poljanica Bistrička
,,,Selnica
,,,Sušobreg Bistrički
,,,Tugonica 
,,Mihovljan,Frkuljevec Mihovljanski
,,,Gregurovec
,,,Kuzminec
,,,Mihovljan
,,,Sutinske Toplice 
,,Novi Golubovec,Gora Veternička
,,,Novi Golubovec
,,,Očura
,,,Velika Veternička
,,,Veternica 
,,Petrovsko,Benkovec Petrovski
,,,Brezovica Petrovska
,,,Gredenec
,,,Mala Pačetina
,,,Petrovsko
,,,Podgaj Petrovski
,,,Preseka Petrovska
,,,Rovno
,,,Slatina Svedruška
,,,Stara Ves Petrovska
,,,Svedruža
,,,Štuparje 
,,Radoboj,Bregi Radobojski
,,,Gorjani Sutinski
,,,Gornja Šemnica
,,,Jazvine
,,,Kraljevec Radobojski
,,,Kraljevec Šemnički
,,,Orehovec Radobojski
,,,Radoboj
,,,Strahinje Radobojsko 
,,Stubičke Toplice,Pila
,,,Sljeme
,,,Strmec Stubički
,,,Stubičke Toplice 
,,Sveti Križ Začretje,Brezova
,,,Ciglenica Zagorska
,,,Donja Pačetina
,,,Dukovec
,,,Galovec Začretski
,,,Klupci
,,,Komor Začretski
,,,Kotarice
,,,Kozjak Začretski
,,,Mirkovec
,,,Pustodol Začretski
,,,Sekirišće
,,,Sveti Križ Začretje
,,,Štrucljevo
,,,Švaljkovec
,,,Temovec
,,,Vrankovec
,,,Završje Začretsko
,,,Zleć 
,, Tuhelj,Banska Gorica
,,,Črešnjevec
,,,Glogovec Zagorski
,,,Lenišće
,,,Lipnica Zagorska
,,,Pristava
,,,Prosenik
,,,Sveti Križ
,,,Trsteno
,,,Tuhelj
,,,Tuheljske Toplice 
,,Veliko Trgovišće,Bezavina
,,,Domahovo
,,,Družilovec
,,,Dubrovčan
,,,Jalšje
,,,Jezero Klanječko
,,,Mrzlo Polje
,,,Požarkovec
,,,Ravnice
,,,Strmec
,,,Turnišće Klanječko
,,,Velika Erpenja
,,,Veliko Trgovišće
,,,Vilanci
,,,Vižovlje 
,,Zagorska Sela,Bojačno
,,,Bratkovec
,,,Brezakovec
,,,Gornji Škrnik
,,,Harina Zlaka
,,,Ivanić Miljanski
,,,Kuzminec Miljanski
,,,Luke Poljanske
,,,Miljana
,,,Plavić
,,,Poljana Sutlanska
,,,Pušća
,,,Zagorska Sela 
,,Zlatar Bistrica,Ervenik Zlatarski
,,,Lipovec
,,,Lovrečan
,,,Opasanjek
,,,Veleškovec
,,,Zlatar Bistrica 
Sisačko-moslavačka županija,Glina,,Balinac
,,,Baturi
,,,Bijele Vode
,,,Bišćanovo
,,,Bojna
,,,Borovita
,,,Brestik
,,,Brezovo Polje
,,,Brnjeuška
,,,Brubno
,,,Buzeta
,,,Dabrina
,,,Desni Degoj
,,,Dolnjaki
,,,Donja Bučica
,,,Donja Trstenica
,,,Donje Jame
,,,Donje Selište
,,,Donje Taborište
,,,Donji Klasnić
,,,Donji Selkovac
,,,Donji Viduševac
,,,Dragotina
,,,Drenovac Banski
,,,Dvorišće
,,,Glina
,,,Gornja Bučica
,,,Gornje Jame
,,,Gornje Selište
,,,Gornje Taborište
,,,Gornji Klasnić
,,,Gornji Selkovac
,,,Gornji Viduševac
,,,Gračanica Šišinečka
,,,Hađer
,,,Hajtić
,,,Ilovačak
,,,Joševica
,,,Kihalac
,,,Kozaperovica
,,,Maja
,,,Majske Poljane
,,,Majski Trtnik
,,,Mala Solina
,,,Mali Gradac
,,,Mali Obljaj
,,,Marinbrod
,,,Martinovići
,,,Momčilovića Kosa
,,,Novo Selo Glinsko
,,,Prekopa
,,,Prijeka
,,,Ravno Rašće
,,,Roviška
,,,Skela
,,,Slatina Pokupska
,,,Stankovac
,,,Svračica
,,,Šaševa
,,,Šatornja
,,,Šibine
,,,Trnovac Glinski
,,,Trtnik Glinski
,,,Turčenica
,,,Velika Solina
,,,Veliki Gradac
,,,Veliki Obljaj
,,,Vlahović
,,,Zaloj
,Hrvatska Kostajnica,,Čukur
,,,Hrvatska Kostajnica
,,,Panjani
,,,Rausovac
,,,Rosulje
,,,Selište Kostajničko
,,,Utolica 
,Kutina,,Banova Jaruga
,,,Batina
,,,Brinjani
,,,Čaire
,,,Gojlo
,,,Husain
,,,Ilova
,,,Jamarica
,,,Janja Lipa
,,,Katoličke Čaire
,,,Kletište
,,,Krajiška Kutinica
,,,Kutina
,,,Kutinica
,,,Kutinska Slatina
,,,Međurić
,,,Mikleuška
,,,Mišinka
,,,Repušnica
,,,Selište
,,,Stupovača
,,,Šartovac
,,,Zbjegovača 
,Novska,,Bair
,,,Borovac
,,,Brestača
,,,Brezovac Subocki
,,,Bročice
,,,Jazavica
,,,Kozarice
,,,Kričke
,,,Lovska
,,,Nova Subocka
,,,Novi Grabovac
,,,Novska
,,,Paklenica
,,,Plesmo
,,,Popovac Subocki
,,,Rađenovci
,,,Rajčići
,,,Rajić
,,,Roždanik
,,,Sigetac Novski
,,,Stara Subocka
,,,Stari Grabovac
,,,Voćarica 
,Petrinja,,Begovići
,,,Bijelnik
,,,Blinja
,,,Brest Pokupski
,,,Cepeliš
,,,Čuntić
,,,Deanovići
,,,Dodoši
,,,Donja Bačuga
